127.0.0.1, 2016-06-29 19:13:38, GET, /Confeitaria/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002049
127.0.0.1, 2016-06-29 19:13:38, GET, /Confeitaria/static/images/background.jpg, HTTP/1.1, 304, 0.001974
127.0.0.1, 2016-06-29 19:13:38, GET, /Confeitaria/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001930
127.0.0.1, 2016-06-29 19:13:38, GET, /Confeitaria/static/images/twitter.png, HTTP/1.1, 304, 0.003471
127.0.0.1, 2016-06-29 19:13:38, GET, /Confeitaria/static/images/gplus-32.png, HTTP/1.1, 304, 0.002993
127.0.0.1, 2016-06-29 19:13:38, GET, /Confeitaria/static/images/facebook.png, HTTP/1.1, 304, 0.002867
127.0.0.1, 2016-06-29 19:13:38, GET, /Confeitaria/static/images/favicon.ico, HTTP/1.1, 200, 0.002519
127.0.0.1, 2016-06-29 19:13:58, GET, /Confeitaria/default/BuscarCliente, HTTP/1.1, 500, 2.862508
127.0.0.1, 2016-06-29 19:13:58, GET, /favicon.ico, HTTP/1.1, 400, 0.001398
127.0.0.1, 2016-06-29 19:14:01, GET, /admin/default/ticket/Confeitaria/127.0.0.1.2016-06-29.19-13-55.55fcbca3-badb-4a33-881d-908f672ee6e2, HTTP/1.1, 200, 0.195061
127.0.0.1, 2016-06-29 19:14:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000783
127.0.0.1, 2016-06-29 19:14:21, GET, /Confeitaria/default/BuscarCliente, HTTP/1.1, 200, 0.664302
127.0.0.1, 2016-06-29 19:14:22, GET, /Confeitaria/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002645
127.0.0.1, 2016-06-29 19:14:22, GET, /Confeitaria/static/js/calendar.js, HTTP/1.1, 304, 0.004743
127.0.0.1, 2016-06-29 19:14:22, GET, /Confeitaria/static/css/calendar.css, HTTP/1.1, 304, 0.002622
127.0.0.1, 2016-06-29 19:14:22, GET, /Confeitaria/static/js/jquery.js, HTTP/1.1, 304, 0.002418
127.0.0.1, 2016-06-29 19:14:22, GET, /Confeitaria/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003516
127.0.0.1, 2016-06-29 19:14:22, GET, /Confeitaria/static/js/web2py.js, HTTP/1.1, 304, 0.001773
127.0.0.1, 2016-06-29 19:14:22, GET, /Confeitaria/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002341
127.0.0.1, 2016-06-29 19:14:22, GET, /Confeitaria/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002135
127.0.0.1, 2016-06-29 19:14:22, GET, /Confeitaria/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004525
127.0.0.1, 2016-06-29 19:14:22, GET, /Confeitaria/static/js/share.js, HTTP/1.1, 304, 0.002591
127.0.0.1, 2016-06-29 19:14:22, GET, /Confeitaria/static/images/twitter.png, HTTP/1.1, 304, 0.003294
127.0.0.1, 2016-06-29 19:14:22, GET, /Confeitaria/static/images/facebook.png, HTTP/1.1, 304, 0.002862
127.0.0.1, 2016-06-29 19:14:22, GET, /Confeitaria/static/images/gplus-32.png, HTTP/1.1, 304, 0.002755
127.0.0.1, 2016-06-29 19:14:22, GET, /Confeitaria/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001393
127.0.0.1, 2016-06-29 19:15:03, POST, /Confeitaria/default/BuscarCliente, HTTP/1.1, 303, 3.655005
127.0.0.1, 2016-06-29 19:15:04, GET, /Confeitaria/default/BuscarCliente, HTTP/1.1, 200, 0.648740
127.0.0.1, 2016-06-29 19:15:21, GET, /Confeitaria/appadmin, HTTP/1.1, 200, 0.425719
127.0.0.1, 2016-06-29 19:15:22, GET, /Confeitaria/appadmin/hooks, HTTP/1.1, 200, 0.698658
127.0.0.1, 2016-06-29 19:15:26, GET, /Confeitaria/appadmin/select/db, HTTP/1.1, 200, 1.227032
127.0.0.1, 2016-06-29 19:15:41, GET, /Confeitaria/appadmin, HTTP/1.1, 200, 1.125237
127.0.0.1, 2016-06-29 19:15:41, GET, /Confeitaria/appadmin/hooks, HTTP/1.1, 200, 0.632138
127.0.0.1, 2016-06-29 19:16:01, GET, /Confeitaria/default/BuscarCliente, HTTP/1.1, 500, 4.253971
127.0.0.1, 2016-06-29 19:16:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000867
127.0.0.1, 2016-06-29 19:16:08, GET, /admin/default/ticket/Confeitaria/127.0.0.1.2016-06-29.19-15-57.4b3475c2-05ad-45a2-b70a-fe4fc6515f63, HTTP/1.1, 200, 0.211210
127.0.0.1, 2016-06-29 19:16:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001424
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/default/ticket/Confeitaria/127.0.0.1.2016-06-29.19-15-57.4b3475c2-05ad-45a2-b70a-fe4fc6515f63, HTTP/1.1, 200, 0.167938
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 304, 0.002545
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.004401
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 304, 0.001892
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 304, 0.011816
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 304, 0.009919
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.007700
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.014793
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.006848
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.011139
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 304, 0.002680
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.004044
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.002676
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.003257
127.0.0.1, 2016-06-29 19:16:29, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 304, 0.007247
127.0.0.1, 2016-06-29 19:16:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000311
127.0.0.1, 2016-06-29 19:16:36, GET, /Confeitaria/default/BuscarCliente, HTTP/1.1, 200, 0.601919
127.0.0.1, 2016-06-29 19:16:36, GET, /Confeitaria/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.014747
127.0.0.1, 2016-06-29 19:16:36, GET, /Confeitaria/static/css/calendar.css, HTTP/1.1, 304, 0.007300
127.0.0.1, 2016-06-29 19:16:36, GET, /Confeitaria/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.009665
127.0.0.1, 2016-06-29 19:16:36, GET, /Confeitaria/static/js/jquery.js, HTTP/1.1, 304, 0.005572
127.0.0.1, 2016-06-29 19:16:36, GET, /Confeitaria/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.006792
